,circuity_avg,clean_intersection_count,clean_intersection_density_km,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion
82,1.0334151200145025,20,108.00013642553012,32262.248953600523,90.5224696969697,5974.483,26,140.40017735318915,4.714285714285714,66,28,151.20019099574216,0.0,16257.136335978159,86.01648571428571,3010.5769999999998,35,3.0,"{0: 0, 1: 2, 2: 0, 3: 22, 4: 4}","{0: 0.0, 1: 0.07142857142857142, 2: 0.0, 3: 0.7857142857142857, 4: 0.14285714285714285}"
83,1.1045201642186047,53,26.486314769728473,15483.12801306242,146.83533649289095,30982.255999999987,77,38.4801176843225,4.395833333333333,211,96,47.975211658376104,0.0,9371.16450724604,157.57994117647053,18752.01299999999,119,2.75,"{0: 0, 1: 19, 2: 0, 3: 64, 4: 12, 5: 1}","{0: 0.0, 1: 0.19791666666666666, 2: 0.0, 3: 0.6666666666666666, 4: 0.125, 5: 0.010416666666666666}"
84,1.0094674504655943,43,92.6862169993352,29285.001327024584,87.09113461538463,13586.217000000002,64,137.9515787897082,4.588235294117647,156,68,146.57355246406496,0.0,18370.651780024542,90.66715957446812,8522.713000000003,94,3.1029411764705883,"{0: 0, 1: 4, 2: 0, 3: 51, 4: 11, 5: 2}","{0: 0.0, 1: 0.058823529411764705, 2: 0.0, 3: 0.75, 4: 0.16176470588235295, 5: 0.029411764705882353}"
85,1.0128416894362875,36,175.6103546217214,33545.7923812597,73.94477419354837,6876.863999999999,42,204.87874705867495,4.133333333333334,93,45,219.51294327715172,0.0,20909.26150791313,73.9031724137931,4286.384,58,3.1555555555555554,"{0: 0, 1: 3, 2: 0, 3: 29, 4: 13}","{0: 0.0, 1: 0.06666666666666667, 2: 0.0, 3: 0.6444444444444445, 4: 0.28888888888888886}"
86,1.1126994348130437,62,57.22807444111512,20138.9175328104,105.40187439613527,21818.188000000002,91,83.99604474421736,4.0588235294117645,207,102,94.14941279022165,0.00966183574879227,13150.43184155618,103.23892753623193,14246.972000000005,138,3.0294117647058822,"{0: 0, 1: 11, 2: 0, 3: 68, 4: 21, 5: 2}","{0: 0.0, 1: 0.10784313725490197, 2: 0.0, 3: 0.6666666666666666, 4: 0.20588235294117646, 5: 0.0196078431372549}"
87,1.056978311800064,110,103.29724178495445,27962.753042485758,82.4853240997231,29777.202000000038,129,121.13949263871932,4.688311688311688,361,154,144.61613849893624,0.0,15551.046661971151,81.57696551724136,16560.123999999996,203,2.8636363636363638,"{0: 0, 1: 25, 2: 0, 3: 101, 4: 27, 5: 1}","{0: 0.0, 1: 0.16233766233766234, 2: 0.0, 3: 0.6558441558441559, 4: 0.17532467532467533, 5: 0.006493506493506494}"
88,1.0179805253860867,34,75.07475570455175,17243.796985239678,82.20425263157894,7809.403999999999,44,97.1555662058905,4.130434782608695,95,46,101.57172830615825,0.0,11045.424218896327,87.75917543859647,5002.272999999999,57,3.130434782608696,"{0: 0, 1: 2, 2: 2, 3: 31, 4: 10, 5: 1}","{0: 0.0, 1: 0.043478260869565216, 2: 0.043478260869565216, 3: 0.6739130434782609, 4: 0.21739130434782608, 5: 0.021739130434782608}"
89,1.0752964976114223,22,128.64640069211,40936.17352990692,70.71264646464647,7000.552000000001,42,245.59767404857365,3.8823529411764706,99,51,298.2257470589823,0.0,25708.462811764555,69.78476190476191,4396.4400000000005,63,2.8627450980392157,"{0: 0, 1: 9, 2: 0, 3: 32, 4: 9, 5: 1}","{0: 0.0, 1: 0.17647058823529413, 2: 0.0, 3: 0.6274509803921569, 4: 0.17647058823529413, 5: 0.0196078431372549}"
90,1.0561554463571803,225,61.92592457898976,27980.976363244237,87.94578892733564,101665.332,340,93.57695269714007,4.542239685658153,1156,509,140.09020271424794,0.0,14141.123406000002,87.8290256410256,51379.979999999974,585,2.404715127701375,"{0: 0, 1: 169, 2: 0, 3: 307, 4: 31, 5: 2}","{0: 0.0, 1: 0.3320235756385069, 2: 0.0, 3: 0.6031434184675835, 4: 0.060903732809430254, 5: 0.003929273084479371}"
91,1.0909593115682095,54,87.16868254876026,26846.890444244087,83.57457788944723,16631.340999999997,74,119.45337978904183,3.9019607843137254,199,102,164.65195592543603,0.0,17095.748014343542,92.09234782608696,10590.62,115,2.5392156862745097,"{0: 0, 1: 28, 2: 0, 3: 66, 4: 7, 5: 1}","{0: 0.0, 1: 0.27450980392156865, 2: 0.0, 3: 0.6470588235294118, 4: 0.06862745098039216, 5: 0.00980392156862745}"
92,1.0600453697557868,28,101.77729481107157,62339.501797627905,45.856283422459924,17150.25000000001,112,407.1091792442863,6.131147540983607,374,122,443.45821310538327,0.0,31169.750898813953,45.856283422459924,8575.125000000005,187,3.1557377049180326,"{0: 0, 1: 10, 2: 0, 3: 73, 4: 39}","{0: 0.0, 1: 0.08196721311475409, 2: 0.0, 3: 0.5983606557377049, 4: 0.319672131147541}"
93,1.105984041366361,29,48.273251430466644,20976.355720327374,105.01231666666665,12601.477999999997,47,78.23595921489422,4.137931034482759,120,58,96.54650286093329,0.016666666666666666,11632.901446472866,99.83468571428571,6988.428,70,2.810344827586207,"{0: 0, 1: 11, 2: 0, 3: 36, 4: 11}","{0: 0.0, 1: 0.1896551724137931, 2: 0.0, 3: 0.6206896551724138, 4: 0.1896551724137931}"
94,1.0462947271571532,119,61.097813598818185,27253.925843094057,105.11361782178216,53082.376999999986,162,83.17517481519786,4.675925925925926,505,216,110.90023308693048,0.0039603960396039604,14334.57700485484,107.79693436293437,27919.406,259,2.564814814814815,"{0: 0, 1: 54, 2: 0, 3: 148, 4: 14}","{0: 0.0, 1: 0.25, 2: 0.0, 3: 0.6851851851851852, 4: 0.06481481481481481}"
95,1.0737570832276202,73,63.39433745199141,21713.389045771833,97.66974218749996,25003.45399999999,87,75.55215559346922,5.12,256,100,86.84155815341289,0.0,10856.694522885919,97.66974218749998,12501.726999999997,128,2.81,"{0: 0, 1: 13, 2: 0, 3: 80, 4: 7}","{0: 0.0, 1: 0.13, 2: 0.0, 3: 0.8, 4: 0.07}"
