Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
123,5875,24791,12677,12114,2497,1330,1167,1770,890,880,209,111,98,20302,10424,9878,4489,2253,2236,9244,6748,2496,8984,6614,2370,41,36,5,28,23,5,126,65,61,8789,6490,2299,260,134,126,8,2,6,3,2,1,5,1,4,244,129,115,212,107,105,8,2,6,2,1,1,3,0,3,199,104,95,48,27,21,0,0,0,1,1,0,2,1,1,45,25,20,15547,5929,9618
124,4675,20316,10220,10096,1947,965,982,2611,1271,1340,145,74,71,16807,8694,8113,3509,1526,1983,7883,5694,2189,7365,5398,1967,40,22,18,13,8,5,217,135,82,7095,5233,1862,518,296,222,16,11,5,2,1,1,25,12,13,475,272,203,480,269,211,16,11,5,2,1,1,22,12,10,440,245,195,38,27,11,0,0,0,0,0,0,3,0,3,35,27,8,12433,4526,7907
125,4922,20700,10397,10303,1750,906,844,3931,1958,1973,156,79,77,17597,8998,8599,3103,1399,1704,7909,5421,2488,7511,5254,2257,16,12,4,20,13,7,357,218,139,7118,5011,2107,398,167,231,11,9,2,3,1,2,33,12,21,351,145,206,333,138,195,9,8,1,3,1,2,25,8,17,296,121,175,65,29,36,2,1,1,0,0,0,8,4,4,55,24,31,12791,4976,7815
126,4236,18853,9442,9411,1925,1009,916,9210,4665,4545,46,19,27,14339,7548,6791,4514,1894,2620,7493,5154,2339,7044,4884,2160,26,14,12,26,19,7,235,135,100,6757,4716,2041,449,270,179,21,6,15,9,5,4,15,4,11,404,255,149,412,247,165,21,6,15,8,5,3,15,4,11,368,232,136,37,23,14,0,0,0,1,0,1,0,0,0,36,23,13,11360,4288,7072
127,6661,25783,13124,12659,2663,1364,1299,1582,794,788,177,99,78,21382,11004,10378,4401,2120,2281,10495,7287,3208,9680,6858,2822,44,34,10,41,29,12,375,226,149,9220,6569,2651,815,429,386,19,10,9,6,3,3,51,17,34,739,399,340,727,392,335,17,9,8,6,3,3,34,15,19,670,365,305,88,37,51,2,1,1,0,0,0,17,2,15,69,34,35,15288,5837,9451
128,9454,36080,18409,17671,3787,1976,1811,1219,630,589,232,121,111,30673,15599,15074,5407,2810,2597,14724,10368,4356,13736,9814,3922,45,32,13,77,55,22,296,172,124,13318,9555,3763,988,554,434,32,17,15,12,9,3,47,20,27,897,508,389,909,515,394,32,17,15,10,8,2,36,17,19,831,473,358,79,39,40,0,0,0,2,1,1,11,3,8,66,35,31,21356,8041,13315
129,11329,44678,23651,21027,5559,2966,2593,3461,1814,1647,452,241,211,35632,19144,16488,9046,4507,4539,18313,13877,4436,17288,13291,3997,191,151,40,164,103,61,423,243,180,16510,12794,3716,1025,586,439,42,28,14,44,18,26,46,15,31,893,525,368,885,503,382,42,28,14,37,17,20,35,11,24,771,447,324,140,83,57,0,0,0,7,1,6,11,4,7,122,78,44,26365,9774,16591
130,6418,25876,13601,12275,3286,1758,1528,1717,900,817,203,96,107,20548,10934,9614,5328,2667,2661,9649,7451,2198,9172,7183,1989,44,38,6,36,23,13,244,147,97,8848,6975,1873,477,268,209,22,16,6,3,2,1,20,8,12,432,242,190,409,234,175,21,15,6,0,0,0,15,6,9,373,213,160,68,34,34,1,1,0,3,2,1,5,2,3,59,29,30,16227,6150,10077
131,5212,20666,10790,9876,2220,1139,1081,1881,987,894,200,112,88,16611,8937,7674,4055,1853,2202,7718,5686,2032,7393,5506,1887,33,25,8,86,63,23,264,135,129,7010,5283,1727,325,180,145,10,3,7,12,4,8,15,3,12,288,170,118,271,150,121,10,3,7,5,1,4,14,2,12,242,144,98,54,30,24,0,0,0,7,3,4,1,1,0,46,26,20,12948,5104,7844
132,6145,26685,13836,12849,2981,1623,1358,4387,2242,2145,314,175,139,21069,11200,9869,5616,2636,2980,9941,7507,2434,9375,7163,2212,26,21,5,30,25,5,325,221,104,8994,6896,2098,566,344,222,14,10,4,3,1,2,65,35,30,484,298,186,518,314,204,14,10,4,3,1,2,62,35,27,439,268,171,48,30,18,0,0,0,0,0,0,3,0,3,45,30,15,16744,6329,10415
133,5711,23888,12745,11143,3128,1672,1456,2578,1343,1235,361,189,172,18524,10139,8385,5364,2606,2758,8827,6938,1889,8349,6675,1674,43,36,7,37,23,14,306,186,120,7963,6430,1533,478,263,215,14,5,9,5,2,3,38,12,26,421,244,177,422,227,195,14,5,9,5,2,3,32,10,22,371,210,161,56,36,20,0,0,0,0,0,0,6,2,4,50,34,16,15061,5807,9254
134,5953,25148,13034,12114,2570,1387,1183,1783,904,879,161,81,80,20984,10997,9987,4164,2037,2127,9327,7138,2189,8908,6933,1975,40,29,11,52,36,16,290,169,121,8526,6699,1827,419,205,214,18,9,9,5,2,3,43,12,31,353,182,171,352,169,183,17,9,8,5,2,3,34,11,23,296,147,149,67,36,31,1,0,1,0,0,0,9,1,8,57,35,22,15821,5896,9925
135,3765,15030,7757,7273,1335,729,606,1107,573,534,95,45,50,13113,6784,6329,1917,973,944,5457,4167,1290,5270,4045,1225,7,6,1,20,17,3,97,43,54,5146,3979,1167,187,122,65,5,2,3,2,2,0,7,1,6,173,117,56,174,116,58,5,2,3,2,2,0,5,1,4,162,111,51,13,6,7,0,0,0,0,0,0,2,0,2,11,6,5,9573,3590,5983
136,4808,19916,10335,9581,1830,998,832,1023,504,519,50,29,21,17031,8894,8137,2885,1441,1444,7357,5741,1616,7076,5597,1479,29,24,5,23,16,7,196,98,98,6828,5459,1369,281,144,137,8,3,5,2,1,1,22,5,17,249,135,114,252,135,117,8,3,5,2,1,1,12,3,9,230,128,102,29,9,20,0,0,0,0,0,0,10,2,8,19,7,12,12559,4594,7965
137,7464,31390,16204,15186,3860,1999,1861,5237,2678,2559,255,147,108,24033,12906,11127,7357,3298,4059,12807,9148,3659,11913,8628,3285,40,25,15,38,23,15,310,168,142,11525,8412,3113,894,520,374,22,10,12,14,7,7,45,16,29,813,487,326,732,416,316,18,9,9,11,5,6,37,14,23,666,388,278,162,104,58,4,1,3,3,2,1,8,2,6,147,99,48,18583,7056,11527
138,4064,16457,8418,8039,1522,822,700,1389,708,681,113,55,58,14051,7322,6729,2406,1096,1310,6328,4662,1666,6103,4547,1556,22,13,9,17,14,3,203,115,88,5861,4405,1456,225,115,110,6,1,5,1,0,1,21,6,15,197,108,89,191,99,92,6,1,5,1,0,1,17,5,12,167,93,74,34,16,18,0,0,0,0,0,0,4,1,3,30,15,15,10129,3756,6373
139,7860,35527,18605,16922,5297,2763,2534,11068,5675,5393,443,241,202,24065,13503,10562,11462,5102,6360,13432,10391,3041,12644,9955,2689,25,14,11,47,38,9,348,150,198,12224,9753,2471,788,436,352,18,8,10,10,9,1,34,8,26,726,411,315,676,381,295,14,6,8,9,8,1,26,8,18,627,359,268,112,55,57,4,2,2,1,1,0,8,0,8,99,52,47,22095,8214,13881
140,10236,45476,24182,21294,6911,3580,3331,7231,3718,3513,670,351,319,32833,18377,14456,12643,5805,6838,16088,13085,3003,15245,12594,2651,80,60,20,188,151,37,337,207,130,14640,12176,2464,843,491,352,20,8,12,16,12,4,58,23,35,749,448,301,683,412,271,19,8,11,11,7,4,43,20,23,610,377,233,160,79,81,1,0,1,5,5,0,15,3,12,139,71,68,29388,11097,18291
141,9712,41214,21539,19675,5514,2922,2592,4722,2442,2280,964,472,492,31936,17269,14667,9278,4270,5008,14752,12010,2742,14171,11664,2507,74,68,6,34,28,6,284,127,157,13779,11441,2338,581,346,235,7,5,2,7,4,3,41,5,36,526,332,194,539,327,212,7,5,2,7,4,3,37,4,33,488,314,174,42,19,23,0,0,0,0,0,0,4,1,3,38,18,20,26462,9529,16933
142,4113,17067,8821,8246,1806,963,843,1341,663,678,109,55,54,14240,7535,6705,2827,1286,1541,6183,4826,1357,6004,4716,1288,113,95,18,13,7,6,193,102,91,5685,4512,1173,179,110,69,7,6,1,2,2,0,10,4,6,160,98,62,163,100,63,7,6,1,2,2,0,6,1,5,148,91,57,16,10,6,0,0,0,0,0,0,4,3,1,12,7,5,10884,3995,6889
143,10168,40938,21214,19724,4343,2306,2037,2561,1305,1256,435,213,222,34601,18189,16412,6337,3025,3312,14165,10830,3335,13721,10611,3110,51,40,11,36,27,9,276,147,129,13358,10397,2961,444,219,225,10,7,3,4,3,1,29,8,21,401,201,200,366,171,195,10,7,3,4,3,1,21,6,15,331,155,176,78,48,30,0,0,0,0,0,0,8,2,6,70,46,24,26773,10384,16389
144,6307,26762,14135,12627,3742,2028,1714,2619,1342,1277,375,197,178,21025,11436,9589,5737,2699,3038,9933,8100,1833,9238,7798,1440,51,43,8,41,35,6,266,166,100,8880,7554,1326,695,302,393,11,7,4,25,14,11,59,27,32,600,254,346,616,251,365,11,7,4,25,14,11,29,11,18,551,219,332,79,51,28,0,0,0,0,0,0,30,16,14,49,35,14,16829,6035,10794
